Serie0;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT
Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt1.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt2.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt3.Val
 3.000000000000000e+001; 1.307987061240816e+002; 1.287554953321959e+002; 1.246046222862310e+002
 2.500000000000000e+001; 1.613713861425446e+002; 1.599547389648407e+002; 1.570940550452847e+002
 2.000000000000000e+001; 1.917866180849897e+002; 1.909898426054223e+002; 1.894012126153643e+002
 1.500000000000000e+001; 2.188019935209381e+002; 2.184751911281900e+002; 2.178362520629100e+002
 5.000000000000000e+000; 2.495840942833034e+002; 2.495293782446917e+002; 2.494164444825071e+002
 0.000000000000000e+000; 2.490397610829619e+002; 2.489506918200554e+002; 2.487674333607775e+002
-5.000000000000000e+000; 2.376798671309673e+002; 2.376573102530873e+002; 2.375969867989046e+002
-1.000000000000000e+001; 2.174342434112028e+002; 2.176996031754166e+002; 2.181660460983584e+002
-1.500000000000000e+001; 1.913512644955872e+002; 1.921348503084454e+002; 1.935335041610129e+002
-2.000000000000000e+001; 1.628109770689287e+002; 1.642432355372004e+002; 1.667981617778755e+002
-2.500000000000000e+001; 1.347836023326778e+002; 1.368441443683261e+002; 1.405234557691478e+002
-3.000000000000000e+001; 1.093678738846022e+002; 1.119054362550975e+002; 1.164613926635664e+002
