Serie0;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT
Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt1.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt2.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt3.Val
 3.000000000000000e+001; 1.447749113622270e+002; 1.320485894576771e+002; 1.071041720945355e+002
 2.500000000000000e+001; 1.756020508780249e+002; 1.633609743611769e+002; 1.384264672385884e+002
 2.000000000000000e+001; 2.049319511056418e+002; 1.941949944611901e+002; 1.712329031948526e+002
 1.500000000000000e+001; 2.292911211932235e+002; 2.211047521677792e+002; 2.022233091451864e+002
 5.000000000000000e+000; 2.507274583985073e+002; 2.500284636009947e+002; 2.444736307147036e+002
 0.000000000000000e+000; 2.447053263176933e+002; 2.481724103274785e+002; 2.505174546922469e+002
-5.000000000000000e+000; 2.284035483694120e+002; 2.357110678004615e+002; 2.456157806347286e+002
-1.000000000000000e+001; 2.044377078998417e+002; 2.148521961237240e+002; 2.312183917663699e+002
-1.500000000000000e+001; 1.762241728822077e+002; 1.887399774927646e+002; 2.099161690648130e+002
-2.000000000000000e+001; 1.471329129791388e+002; 1.606574518604526e+002; 1.847490019746173e+002
-2.500000000000000e+001; 1.198256348208660e+002; 1.333609386831854e+002; 1.585388125507419e+002
-3.000000000000000e+001; 9.594730760156877e+001; 1.087223222804233e+002; 1.334606968839127e+002
