Serie0;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT
Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt1.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt2.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt3.Val
 3.000000000000000e+001; 1.434467778796403e+002; 1.308372016503460e+002; 1.061216188960149e+002
 2.500000000000000e+001; 1.739911154454262e+002; 1.618623330419402e+002; 1.371565695285027e+002
 2.000000000000000e+001; 2.030519488645637e+002; 1.924134881237200e+002; 1.696620458699519e+002
 1.500000000000000e+001; 2.271876523598702e+002; 2.190763812867840e+002; 2.003681522350121e+002
 5.000000000000000e+000; 2.484273353527231e+002; 2.477347529249664e+002; 2.422308785710333e+002
 0.000000000000000e+000; 2.424604482155619e+002; 2.458957269978436e+002; 2.482192581890045e+002
-5.000000000000000e+000; 2.263082187219447e+002; 2.335487025706272e+002; 2.433625515493417e+002
-1.000000000000000e+001; 2.025622354879942e+002; 2.128811861669503e+002; 2.290972417974739e+002
-1.500000000000000e+001; 1.746075254625519e+002; 1.870085158714768e+002; 2.079904416520575e+002
-2.000000000000000e+001; 1.457831428714779e+002; 1.591836136922511e+002; 1.830541532138580e+002
-2.500000000000000e+001; 1.187263763265295e+002; 1.321375131829010e+002; 1.570844108070591e+002
-3.000000000000000e+001; 9.506710433009671e+001; 1.077249263964496e+002; 1.322363566568822e+002
