Serie0;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT
Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt1.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt2.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.StrengthTibAnt3.Val
 3.000000000000000e+001; 1.447749106569794e+002; 1.320485906313192e+002; 1.071041727443517e+002
 2.500000000000000e+001; 1.756020503386739e+002; 1.633609754002098e+002; 1.384264677757267e+002
 2.000000000000000e+001; 2.049319507830514e+002; 1.941949952603907e+002; 1.712329035471947e+002
 1.500000000000000e+001; 2.292911210825755e+002; 2.211047526647000e+002; 2.022233092814159e+002
 5.000000000000000e+000; 2.507274584038373e+002; 2.500284636203474e+002; 2.444736306036333e+002
 0.000000000000000e+000; 2.447053261266032e+002; 2.481724103237981e+002; 2.505174546765642e+002
-5.000000000000000e+000; 2.284035478238625e+002; 2.357110679547044e+002; 2.456157808826287e+002
-1.000000000000000e+001; 2.044377069142558e+002; 2.148521965776386e+002; 2.312183924033301e+002
-1.500000000000000e+001; 1.762241714678342e+002; 1.887399783103787e+002; 2.099161701407627e+002
-2.000000000000000e+001; 1.471329112332752e+002; 1.606574530201943e+002; 1.847490034586219e+002
-2.500000000000000e+001; 1.198256328896554e+002; 1.333609400986334e+002; 1.585388143501432e+002
-3.000000000000000e+001; 9.594730563544739e+001; 1.087223238355472e+002; 1.334606988756993e+002
