Serie0;;;;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT
Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.Abscissa.JointAngle;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior1;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior2;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior3;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior4;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior5;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior6
-1.999999999999999e+001;-6.693063170664047e-002;-6.605394113873343e-002;-7.427214448140471e-002;-7.298112465343543e-002;-8.053044969369534e-002;-7.996655881288259e-002
-1.717948735190783e+001;-6.665502488586395e-002;-6.567090382039130e-002;-7.450979547092268e-002;-7.304198895079826e-002;-8.124567062812636e-002;-8.062865108627017e-002
-1.435897453143419e+001;-6.625911471607612e-002;-6.518027429573474e-002;-7.455629433363960e-002;-7.297143600507504e-002;-8.176525335725203e-002;-8.106778238887637e-002
-1.153846171092138e+001;-6.571831404918688e-002;-6.455878650211484e-002;-7.440692144939981e-002;-7.271968532749980e-002;-8.202530559255898e-002;-8.127073431653124e-002
-8.717948890408581e+000;-6.503130284936501e-002;-6.380501032904523e-002;-7.407532556348605e-002;-7.228523383594339e-002;-8.202700273908362e-002;-8.123758099348016e-002
-5.897436069895736e+000;-6.421680568977073e-002;-6.293785472677525e-002;-7.355105091802787e-002;-7.167035566203389e-002;-8.178677488194699e-002;-8.096719091102993e-002
-3.076923249382946e+000;-6.327461204714981e-002;-6.194159114345997e-002;-7.282666994990110e-002;-7.090527198016063e-002;-8.132469657455788e-002;-8.046961710743331e-002
-2.564104288722668e-001;-6.219081982901862e-002;-6.082075673497871e-002;-7.190831040303734e-002;-6.997307176677921e-002;-8.062831689049384e-002;-7.974802868475293e-002
 2.564102391642467e+000;-6.097023497301073e-002;-5.957738430087155e-002;-7.084290183451154e-002;-6.887409162986315e-002;-7.970684554630193e-002;-7.881752093469137e-002
 5.384615212155613e+000;-5.963092764822472e-002;-5.822353236596444e-002;-6.960225846541507e-002;-6.761645702187456e-002;-7.857316949944772e-002;-7.768130864361168e-002
 8.205128032668331e+000;-5.818197538423579e-002;-5.676528564885738e-002;-6.819488622691099e-002;-6.621239517289239e-002;-7.726381823112787e-002;-7.636252381382472e-002
 1.102564085318117e+001;-5.661555132916641e-002;-5.519958850379947e-002;-6.663102307962093e-002;-6.468643480547356e-002;-7.577630377051779e-002;-7.486531816729067e-002
 1.384615367369401e+001;-5.493812381746122e-002;-5.353240520709210e-002;-6.494282571384513e-002;-6.302910270732888e-002;-7.411657107281153e-002;-7.320325259255681e-002
 1.666666649420682e+001;-5.315721421775660e-002;-5.177036623366790e-002;-6.313206501180296e-002;-6.124914890038744e-002;-7.229710216515305e-002;-7.139410598588172e-002
 1.948717931471967e+001;-5.129126341847418e-002;-4.991967975952222e-002;-6.119607744274285e-002;-5.935570070285267e-002;-7.033060924361219e-002;-6.944335071579827e-002
