Serie0;;;;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT
Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.Abscissa.JointAngle;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior1;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior2;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior3;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior4;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior5;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusInferior6
-1.999999999999999e+001;-6.693063185406355e-002;-6.605394072896224e-002;-7.427214119412942e-002;-7.298112231840023e-002;-8.053045211705549e-002;-7.996656144828072e-002
-1.717948735190783e+001;-6.665502488598774e-002;-6.567090382011327e-002;-7.450979547037483e-002;-7.304198894953314e-002;-8.124567063097997e-002;-8.062865108712107e-002
-1.435897453143419e+001;-6.625911471607733e-002;-6.518027429573717e-002;-7.455629433363893e-002;-7.297143600507464e-002;-8.176525335725279e-002;-8.106778238887649e-002
-1.153846171092138e+001;-6.571831404918413e-002;-6.455878650211701e-002;-7.440692144939688e-002;-7.271968532749963e-002;-8.202530559256331e-002;-8.127073431652820e-002
-8.717948890408581e+000;-6.503130284936458e-002;-6.380501032904694e-002;-7.407532556349084e-002;-7.228523383594518e-002;-8.202700273908839e-002;-8.123758099347538e-002
-5.897436069895736e+000;-6.421680568975763e-002;-6.293785472677892e-002;-7.355105091802600e-002;-7.167035566203735e-002;-8.178677488196035e-002;-8.096719091103102e-002
-3.076923249382946e+000;-6.327461204714595e-002;-6.194159114345806e-002;-7.282666994989806e-002;-7.090527198016336e-002;-8.132469657456337e-002;-8.046961710743497e-002
-2.564104288722668e-001;-6.219081982904521e-002;-6.082075673497755e-002;-7.190831040304574e-002;-6.997307176670622e-002;-8.062831689050617e-002;-7.974802868474654e-002
 2.564102391642467e+000;-6.097023497302904e-002;-5.957738430084010e-002;-7.084290183450853e-002;-6.887409162980684e-002;-7.970684554629443e-002;-7.881752093465433e-002
 5.384615212155613e+000;-5.963092764822249e-002;-5.822353236596188e-002;-6.960225846538037e-002;-6.761645702183503e-002;-7.857316949944418e-002;-7.768130864366837e-002
 8.205128032668331e+000;-5.818197538421729e-002;-5.676528564885124e-002;-6.819488622692052e-002;-6.621239517291411e-002;-7.726381823113075e-002;-7.636252381376185e-002
 1.102564085318117e+001;-5.661555132915799e-002;-5.519958850378938e-002;-6.663102307960001e-002;-6.468643480545336e-002;-7.577630377050562e-002;-7.486531816728680e-002
 1.384615367369401e+001;-5.493812381746425e-002;-5.353240520707615e-002;-6.494282571384645e-002;-6.302910270733080e-002;-7.411657107281537e-002;-7.320325259254981e-002
 1.666666649420682e+001;-5.315721421775892e-002;-5.177036623367964e-002;-6.313206501180213e-002;-6.124914890039866e-002;-7.229710216517017e-002;-7.139410598585404e-002
 1.948717931471967e+001;-5.129126341815014e-002;-4.991967981450199e-002;-6.119607744276576e-002;-5.935570070283606e-002;-7.033060924360937e-002;-6.944335071578772e-002
 2.230769213523249e+001;-4.934582416358965e-002;-4.799616658772863e-002;-5.914489943112473e-002;-5.735755028673672e-002;-6.822921849441696e-002;-6.736176638345717e-002
 2.512820495574531e+001;-4.731759368474751e-002;-4.600035496076385e-002;-5.698844239834867e-002;-5.526347704661994e-002;-6.602117822749859e-002;-6.516681057713415e-002
 2.794871777625813e+001;-4.521356819982383e-002;-4.393440992704329e-002;-5.473555590005598e-002;-5.309277950698448e-002;-6.370569552732304e-002;-6.286361324633019e-002
 3.076923059677095e+001;-4.303991211131519e-002;-4.180395463310124e-002;-5.241363544812671e-002;-5.084362345402559e-002;-6.128750064099783e-002;-6.046071396168122e-002
 3.358974341728379e+001;-4.080328351981952e-002;-3.961498431940591e-002;-5.001447820133453e-002;-4.852069750050008e-002;-5.877575453758494e-002;-5.796763409982667e-002
 3.641025623779658e+001;-3.850996939241568e-002;-3.737315861299018e-002;-4.754280343961186e-002;-4.613104553374361e-002;-5.617963287080453e-002;-5.539459989338365e-002
 3.923076905830941e+001;-3.617111038555955e-002;-3.508396263178736e-002;-4.500576063022028e-002;-4.368140849401761e-002;-5.350753395895861e-002;-5.275054090161373e-002
 4.205128187882225e+001;-3.379189585351740e-002;-3.275269120147221e-002;-4.241056568614279e-002;-4.117819730262414e-002;-5.076725141130514e-002;-5.004015245454876e-002
 4.487179469933507e+001;-3.137212026960003e-002;-3.038463231380333e-002;-3.976383322959832e-002;-3.862762415603465e-002;-4.796779992803206e-002;-4.727089426655116e-002
 4.769230751984787e+001;-2.891665959166002e-002;-2.798552969970979e-002;-3.707167830424162e-002;-3.603501080261740e-002;-4.511813308123438e-002;-4.444961212205022e-002
