Serie0;;;;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT
Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.Abscissa.JointAngle;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior1;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior2;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior3;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior4;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior5;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior6
-1.999999999999999e+001;-4.918565688543106e-002;-4.919822587838162e-002;-5.298701198091866e-002;-5.258951864665150e-002;-5.742015350254263e-002;-5.674026821120110e-002
-1.717948735190783e+001;-4.859105620205689e-002;-4.859391333482602e-002;-5.176583172624660e-002;-5.134830152454557e-002;-5.641369916239979e-002;-5.567533344070820e-002
-1.435897453143419e+001;-4.798488144279984e-002;-4.797772106720615e-002;-5.049101739052428e-002;-5.004697258421648e-002;-5.532864699972068e-002;-5.453883417750306e-002
-1.153846171092138e+001;-4.734996930151065e-002;-4.734012859902286e-002;-4.914671055211604e-002;-4.867999660150253e-002;-5.416048746275692e-002;-5.332545724429640e-002
-8.717948890408581e+000;-4.668901783673102e-002;-4.669354742937913e-002;-4.821424415299126e-002;-4.806337405979960e-002;-5.291546349554416e-002;-5.203410618741971e-002
-5.897436069895736e+000;-4.604378885065832e-002;-4.605408475395647e-002;-4.762271631109786e-002;-4.743585293461317e-002;-5.157840933481116e-002;-5.066271332888235e-002
-3.076923249382946e+000;-4.538069911110131e-002;-4.539147219891047e-002;-4.700608057447563e-002;-4.679212224599763e-002;-5.014974589123655e-002;-4.921220380603548e-002
-2.564104288722668e-001;-4.469427560353372e-002;-4.470571026277401e-002;-4.637039438158747e-002;-4.614420367589018e-002;-4.863640821094600e-002;-4.782378066610912e-002
 2.564102391642467e+000;-4.398874398204090e-002;-4.399632720471640e-002;-4.570621056285612e-002;-4.549131510057058e-002;-4.752002253879631e-002;-4.719622188562340e-002
 5.384615212155613e+000;-4.326224970959251e-002;-4.326243437853646e-002;-4.501331090200270e-002;-4.482452900124770e-002;-4.690140839654402e-002;-4.654502780841900e-002
 8.205128032668331e+000;-4.251057650200733e-002;-4.252594961251283e-002;-4.432482602900537e-002;-4.413424596543185e-002;-4.625425501183293e-002;-4.587094929293324e-002
 1.102564085318117e+001;-4.178457477053647e-002;-4.180380757346396e-002;-4.362487127563509e-002;-4.342036617761427e-002;-4.557987033228698e-002;-4.519248764964353e-002
 1.384615367369401e+001;-4.105169929314866e-002;-4.106660913705627e-002;-4.290196721604847e-002;-4.268165880908172e-002;-4.487924116148524e-002;-4.449649876921092e-002
 1.666666649420682e+001;-4.031176663733026e-002;-4.031823963689064e-002;-4.217102256879216e-002;-4.195510243940383e-002;-4.415513527878095e-002;-4.377678605490068e-002
 1.948717931471967e+001;-3.954986886347995e-002;-3.955517037418915e-002;-4.143062718159986e-002;-4.122553712645032e-002;-4.341622096885872e-002;-4.305276266286758e-002
 2.230769213523249e+001;-3.876574887577317e-002;-3.876909931935253e-002;-4.066882265529789e-002;-4.047984277910484e-002;-4.266183072923530e-002;-4.232035911706544e-002
 2.512820495574531e+001;-3.796361645739207e-002;-3.799084106952041e-002;-3.989304453614147e-002;-3.971852577970165e-002;-4.194332892924858e-002;-4.157021700248673e-002
 2.794871777625813e+001;-3.721729232176989e-002;-3.724010151809839e-002;-3.914886550258358e-002;-3.894166500009386e-002;-4.120518140516196e-002;-4.081722717599366e-002
 3.076923059677095e+001;-3.645908199627635e-002;-3.647676705658502e-002;-3.839003578441423e-002;-3.815726543672275e-002;-4.044791165548684e-002;-4.005200043254904e-002
 3.358974341728379e+001;-3.568798371440513e-002;-3.569965575079545e-002;-3.761637080574144e-002;-3.737310172910932e-002;-3.967249180426141e-002;-3.927800824269058e-002
 3.641025623779658e+001;-3.490223273981673e-002;-3.490645372472082e-002;-3.683432548960428e-002;-3.662122139152843e-002;-3.887871174887891e-002;-3.850798954924051e-002
 3.923076905830941e+001;-3.409864035889047e-002;-3.409364680623294e-002;-3.603819140136109e-002;-3.585953960264302e-002;-3.806926986959076e-002;-3.773102417981350e-002
 4.205128187882225e+001;-3.330289624789344e-002;-3.333418539306240e-002;-3.522982453639435e-002;-3.508731756075412e-002;-3.729297642039643e-002;-3.694168299814156e-002
 4.487179469933507e+001;-3.255770738860345e-002;-3.258797179990894e-002;-3.447111896781761e-002;-3.430325953159813e-002;-3.651865165548323e-002;-3.616098896500605e-002
 4.769230751984787e+001;-3.180776110026342e-002;-3.183605839378838e-002;-3.370471103289522e-002;-3.350860886324071e-002;-3.573651541499290e-002;-3.538105232140396e-002
 5.051282034036071e+001;-3.105247324088404e-002;-3.107620528630774e-002;-3.293309897276983e-002;-3.273261096727798e-002;-3.494705427510570e-002;-3.459207967249849e-002
 5.333333316087352e+001;-3.029061362229711e-002;-3.030076590873370e-002;-3.215296292942202e-002;-3.199068996874130e-002;-3.415539952717658e-002;-3.382112644564873e-002
 5.615384598138634e+001;-2.951260783564098e-002;-2.953185740509292e-002;-3.136125550861438e-002;-3.124618703248235e-002;-3.335850140987729e-002;-3.304607472435901e-002
 5.897435880189919e+001;-2.879765833041530e-002;-2.883497647349158e-002;-3.056924281756728e-002;-3.049762545252354e-002;-3.256276246578106e-002;-3.226800256074117e-002
 6.179487162241203e+001;-2.810898956905952e-002;-2.813950762824362e-002;-2.985866392428687e-002;-2.974200067272829e-002;-3.181915157591019e-002;-3.151365278455214e-002
 6.461538444292484e+001;-2.742082289808547e-002;-2.744209617894862e-002;-2.915118941138347e-002;-2.897409992783627e-002;-3.107279501813749e-002;-3.075696837043748e-002
 6.743589726343765e+001;-2.672841654377099e-002;-2.673714683658653e-002;-2.844076295211937e-002;-2.827354064189466e-002;-3.032194249903957e-002;-3.001265298454026e-002
 7.025641008395046e+001;-2.602423681221302e-002;-2.601909005505037e-002;-2.772309848337697e-002;-2.759355933468864e-002;-2.956723547806968e-002;-2.928563244734507e-002
 7.307692290446327e+001;-2.536951279472160e-002;-2.540682457109522e-002;-2.699130605171891e-002;-2.691765468541661e-002;-2.880368638574689e-002;-2.855603472021953e-002
 7.589743572497609e+001;-2.478446045219649e-002;-2.481301421839880e-002;-2.633795077048744e-002;-2.624681303454413e-002;-2.809868340941988e-002;-2.785948231981902e-002
 7.871794854548895e+001;-2.420315212527057e-002;-2.422186296669772e-002;-2.571594458895886e-002;-2.556634018456701e-002;-2.742522804040450e-002;-2.716640087558641e-002
 8.153846136600176e+001;-2.361880598212946e-002;-2.362374469865956e-002;-2.509854106727199e-002;-2.493216103056792e-002;-2.675660575513868e-002;-2.648798788818910e-002
 8.435897418651459e+001;-2.301998622779713e-002;-2.301292246948627e-002;-2.447671980316890e-002;-2.436365968151920e-002;-2.608980485085126e-002;-2.584188944978701e-002
 8.717948700702739e+001;-2.250293759362154e-002;-2.254064569137855e-002;-2.384028167285465e-002;-2.380213068767531e-002;-2.541949135911058e-002;-2.519494443304608e-002
 8.999999982754022e+001;-2.205079488927882e-002;-2.207971172192333e-002;-2.328195832031662e-002;-2.324208981199202e-002;-2.475834880093699e-002;-2.459712361638691e-002
