Serie0;;;;;;
AXIS0;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT;OUTPUT
Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.Abscissa.JointAngle;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior1;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior2;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior3;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior4;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior5;Main.HumanModel.EvaluateMomentArms.Right.Leg.HipFlexion.Study.Output.MomentArmCalculations.GluteusMaximusSuperior6
-1.999999999999999e+001;-4.860110283231616e-002;-4.861124406732399e-002;-5.298703203563135e-002;-5.258954315502859e-002;-5.742016164168514e-002;-5.674028311859662e-002
-1.717948735190783e+001;-4.722167049568841e-002;-4.723270705850110e-002;-5.176576469322589e-002;-5.134830155406336e-002;-5.641369916560552e-002;-5.567533346858561e-002
-1.435897453143419e+001;-4.579465004159321e-002;-4.580598465855766e-002;-5.049083590641344e-002;-5.004697258408931e-002;-5.532864699973067e-002;-5.453883417756383e-002
-1.153846171092138e+001;-4.431578006254782e-002;-4.432877576859436e-002;-4.914671001665960e-002;-4.868003997889558e-002;-5.416048746274339e-002;-5.332545724428980e-002
-8.717948890408581e+000;-4.278025373182249e-002;-4.279795730656886e-002;-4.772818875244242e-002;-4.724619769688294e-002;-5.291546349551957e-002;-5.203410618742081e-002
-5.897436069895736e+000;-4.118656236795378e-002;-4.121251941809536e-002;-4.623454562355613e-002;-4.575387126187035e-002;-5.157840933479296e-002;-5.066271332888088e-002
-3.076923249382946e+000;-3.954028330254707e-002;-3.957026258104176e-002;-4.468148878190411e-002;-4.419497497709962e-002;-5.014974589112976e-002;-4.921220380788194e-002
-2.564104288722668e-001;-3.784304704957399e-002;-3.787179421773893e-002;-4.306031488851351e-002;-4.256925907262198e-002;-4.863640821107643e-002;-4.767975708483953e-002
 2.564102391642467e+000;-3.608950351979567e-002;-3.611814820763960e-002;-4.136648456219834e-002;-4.087796973867765e-002;-4.705153720635795e-002;-4.607285774085368e-002
 5.384615212155613e+000;-3.428097557351321e-002;-3.431779855906714e-002;-3.960231029601981e-002;-3.912279469215695e-002;-4.538146006431344e-002;-4.438886443741633e-002
 8.205128032668331e+000;-3.241949848601064e-002;-3.246563377725009e-002;-3.777178125423214e-002;-3.730633054765101e-002;-4.362966598783745e-002;-4.263195303227461e-002
 1.102564085318117e+001;-3.050697572770353e-002;-3.056366774498492e-002;-3.589332174115124e-002;-3.543652628127252e-002;-4.180008992799399e-002;-4.080733721421305e-002
 1.384615367369401e+001;-2.855145372002843e-002;-2.861450786291647e-002;-3.395349015552293e-002;-3.351337526077497e-002;-3.990496721290766e-002;-3.891529009537847e-002
 1.666666649420682e+001;-2.655475431686046e-002;-2.662044621276601e-002;-3.195603896487560e-002;-3.153679339681926e-002;-3.795080997671328e-002;-3.696062028386345e-002
 1.948717931471967e+001;-2.451567871155438e-002;-2.458454866789576e-002;-2.990424007557231e-002;-2.951040290195040e-002;-3.593186612031592e-002;-3.494994768275670e-002
 2.230769213523249e+001;-2.243698758954645e-002;-2.250988901156027e-002;-2.780232027887653e-002;-2.743778682779983e-002;-3.385282412525931e-002;-3.288406714558534e-002
 2.512820495574531e+001;-2.032195612851561e-002;-2.039973551387507e-002;-2.565681133906962e-002;-2.532264853242247e-002;-3.171846163398942e-002;-3.076738319904698e-002
 2.794871777625813e+001;-1.817416247093590e-002;-1.825780402203544e-002;-2.347984683351575e-002;-2.316896814176726e-002;-2.953383374329731e-002;-2.860642609258955e-002
 3.076923059677095e+001;-1.599674174190267e-002;-1.609082246616937e-002;-2.126458779229573e-002;-2.098023262070985e-002;-2.730380383586902e-002;-2.640453456129937e-002
 3.358974341728379e+001;-1.379339123785068e-002;-1.389810614344196e-002;-1.901558571011575e-002;-1.876059688282060e-002;-2.504366111405442e-002;-2.416462969844431e-002
 3.641025623779658e+001;-1.156845873035122e-002;-1.168300290219638e-002;-1.673683647905221e-002;-1.651724220070218e-002;-2.274661818206368e-002;-2.189101552331268e-002
 3.923076905830941e+001;-9.328953571496743e-003;-9.448934322730751e-003;-1.443266783949428e-002;-1.425107882140460e-002;-2.041779413793698e-002;-1.958807190923914e-002
 4.205128187882225e+001;-7.073335766431942e-003;-7.199298467141469e-003;-1.210737799607022e-002;-1.196496869274004e-002;-1.806157347420048e-002;-1.726100843782823e-002
 4.487179469933507e+001;-4.805027910374926e-003;-4.937563620114668e-003;-9.765244320986371e-003;-9.662638502215278e-003;-1.568260482046770e-002;-1.491437574705930e-002
 4.769230751984787e+001;-2.529157209162879e-003;-2.666710168775262e-003;-7.410620792624105e-003;-7.347755606044072e-003;-1.328560942622517e-002;-1.255099913858983e-002
 5.051282034036071e+001;-2.515080782769325e-004;-3.904909010134812e-004;-5.047359484174340e-003;-5.023960325472813e-003;-1.087477758407005e-002;-1.017484702621665e-002
