---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "GaitNormal0001-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+000 -1.557050004366182e+000 -2.576409216310776e+000 -6.812237695147605e-002 1.238401760271745e+000 9.359171801212369e-001 8.049732240770409e-001
1.569795918367347e+000 -1.558522899161591e+000 -2.576370181684820e+000 -6.732132217344056e-002 1.242117411100701e+000 9.178451969940411e-001 7.964334049299041e-001
1.579591836734694e+000 -1.561336051065737e+000 -2.580583882956538e+000 -6.543800942347122e-002 1.246756953301319e+000 9.040281256447573e-001 7.739615850575217e-001
1.589387755102041e+000 -1.564724898490950e+000 -2.587501844313271e+000 -6.181687091223642e-002 1.252051106273929e+000 8.890106057414162e-001 7.439417468249403e-001
1.599183673469387e+000 -1.568861046907191e+000 -2.595950482582087e+000 -5.667359944302675e-002 1.257934619707466e+000 8.711727321554962e-001 7.093639945081373e-001
1.608979591836734e+000 -1.573957470335930e+000 -2.605206717822832e+000 -5.020529798917828e-002 1.264311688268505e+000 8.504563873244251e-001 6.722889595298408e-001
1.618775510204081e+000 -1.580211815368004e+000 -2.614790129798463e+000 -4.259416848975794e-002 1.271075016592401e+000 8.276619294376423e-001 6.344288338818952e-001
1.628571428571428e+000 -1.587815737406134e+000 -2.624330756367087e+000 -3.405360501263965e-002 1.278135375035128e+000 8.040847274045556e-001 5.972061502717837e-001
1.638367346938775e+000 -1.596941810616795e+000 -2.633475979485815e+000 -2.485087618757431e-002 1.285426048510617e+000 7.812280794756153e-001 5.617105228228601e-001
1.648163265306122e+000 -1.607715127746398e+000 -2.641857653975833e+000 -1.530467245681955e-002 1.292889870959606e+000 7.605759421250188e-001 5.286850470276922e-001
1.657959183673468e+000 -1.620192812133340e+000 -2.649118878652850e+000 -5.767338565387359e-003 1.300464436785624e+000 7.434056458885854e-001 4.985810949318198e-001
1.667755102040815e+000 -1.634361951717005e+000 -2.654961726559893e+000 3.400494275312305e-003 1.308073170509766e+000 7.306398462688263e-001 4.716725039045500e-001
1.677551020408162e+000 -1.650150852540486e+000 -2.659174073744955e+000 1.185832934167408e-002 1.315621446564438e+000 7.227787726303068e-001 4.481677151487286e-001
1.687346938775509e+000 -1.667444411523295e+000 -2.661620210655293e+000 1.930831284734014e-002 1.322995471844604e+000 7.199274579534426e-001 4.282528745923497e-001
1.697142857142856e+000 -1.686098448088602e+000 -2.662215368416760e+000 2.550490277168604e-002 1.330064660238108e+000 7.218775043281615e-001 4.120625436552600e-001
1.706938775510203e+000 -1.705951840411199e+000 -2.660915831358584e+000 3.025560911072311e-002 1.336689997462616e+000 7.281958779416716e-001 3.996397100991472e-001
1.716734693877549e+000 -1.726836233225875e+000 -2.657734008146722e+000 3.342100670739256e-002 1.342738129766389e+000 7.383023450079667e-001 3.909394478362698e-001
1.726530612244896e+000 -1.751872336172413e+000 -2.649663161278772e+000 3.347407497602895e-002 1.347915663316799e+000 7.534191876507085e-001 3.844476660703784e-001
1.736326530612243e+000 -1.771409610788709e+000 -2.645766296674051e+000 3.430442706588099e-002 1.352664576076508e+000 7.674830895862476e-001 3.841091799005155e-001
1.746122448979590e+000 -1.797101822523330e+000 -2.635092010557947e+000 3.117819453435455e-002 1.356255999651955e+000 7.863059166197849e-001 3.853559521708533e-001
1.755918367346937e+000 -1.821980581645742e+000 -2.625829308916686e+000 2.731607876500108e-002 1.359219218431373e+000 8.051452024855577e-001 3.907150916498927e-001
1.765714285714284e+000 -1.841611055434583e+000 -2.619266248435709e+000 2.415748337139556e-002 1.361589915048736e+000 8.226662592170353e-001 3.985202925463252e-001
1.775510204081630e+000 -1.864768892307704e+000 -2.609844421777616e+000 1.849236788646991e-002 1.363101570891320e+000 8.417784634280635e-001 4.087988408165319e-001
1.785306122448977e+000 -1.888430562200560e+000 -2.600077752546830e+000 1.158901735686468e-002 1.363954805606682e+000 8.608408989800340e-001 4.211432273021739e-001
1.795102040816324e+000 -1.902775019638162e+000 -2.589970423707803e+000 3.185030754558671e-003 1.364521663927111e+000 8.745662803199574e-001 4.351488810722614e-001
1.804897959183671e+000 -1.934509843710941e+000 -2.581518743013785e+000 -4.125874876729441e-003 1.364155422693631e+000 8.971861957759839e-001 4.504845538211321e-001
1.814693877551018e+000 -1.958393013025559e+000 -2.573086455250922e+000 -1.290099109040543e-002 1.363724418307698e+000 9.150624879781609e-001 4.668052412602005e-001
1.824489795918365e+000 -1.981091246367236e+000 -2.565701508127182e+000 -2.166845471243351e-002 1.363123875482481e+000 9.319290605395967e-001 4.838576751644905e-001
1.834285714285711e+000 -2.003162409177238e+000 -2.559153584985694e+000 -3.042378067182927e-002 1.362388993748202e+000 9.481651704154358e-001 5.012378989711173e-001
1.844081632653058e+000 -2.024638191158887e+000 -2.553437753165894e+000 -3.909365464703374e-002 1.361595262456803e+000 9.638672641145309e-001 5.186693249393830e-001
1.853877551020405e+000 -2.045497600865229e+000 -2.548533215616458e+000 -4.760226355872144e-002 1.360807215773949e+000 9.791132551054934e-001 5.359203713041767e-001
1.863673469387752e+000 -2.067827032963521e+000 -2.542810328658015e+000 -5.790522715107382e-002 1.359968479584999e+000 9.947369363420484e-001 5.540120510247136e-001
1.873469387755099e+000 -2.085726757480293e+000 -2.540809362272710e+000 -6.423202651474691e-002 1.359444316578193e+000 1.008599446508841e+000 5.692730485740856e-001
1.883265306122446e+000 -2.104563060742771e+000 -2.538123448718519e+000 -7.183281176276157e-002 1.358932913856668e+000 1.023049803249963e+000 5.846502248219048e-001
1.893061224489792e+000 -2.123161097986233e+000 -2.535860942066562e+000 -7.941487144529180e-002 1.358560667944779e+000 1.037459233103276e+000 5.992425213081027e-001
1.902857142857139e+000 -2.141381808944939e+000 -2.534052086989042e+000 -8.684220104226670e-002 1.358345065169468e+000 1.051880409252539e+000 6.127927334780854e-001
1.912653061224486e+000 -2.159232206697632e+000 -2.532638725562458e+000 -9.410106812140962e-002 1.358295451317299e+000 1.066350169380999e+000 6.251421512867029e-001
1.922448979591833e+000 -2.176724301625036e+000 -2.531560588599210e+000 -1.011822672152518e-001 1.358419825698700e+000 1.080861516007064e+000 6.361625984551420e-001
1.932244897959180e+000 -2.193854678523321e+000 -2.530757391885929e+000 -1.080636860028790e-001 1.358722561400447e+000 1.095372089437340e+000 6.457529140264354e-001
1.942040816326527e+000 -2.200674603145294e+000 -2.530307170005861e+000 -1.108258451871653e-001 1.359350753983301e+000 1.107235037600483e+000 6.520636679556858e-001
1.951836734693873e+000 -2.225593721957246e+000 -2.530432354827284e+000 -1.202899176202164e-001 1.359962136572542e+000 1.124135440175456e+000 6.601772093537276e-001
1.961632653061220e+000 -2.242503103842019e+000 -2.529521779477598e+000 -1.268598802270713e-001 1.360682357598468e+000 1.138194570115043e+000 6.654719820499369e-001
1.971428571428567e+000 -2.258117516225240e+000 -2.529072632115982e+000 -1.326600780305749e-001 1.361623902704926e+000 1.151852057349092e+000 6.693126567123928e-001
1.981224489795914e+000 -2.273029166007702e+000 -2.528673263285635e+000 -1.379212519596695e-001 1.362700504021273e+000 1.165085096552657e+000 6.719395351544415e-001
1.991020408163261e+000 -2.287351627045822e+000 -2.528181381242535e+000 -1.427182491693926e-001 1.363874911804810e+000 1.177771219931903e+000 6.736068157763430e-001
2.000816326530608e+000 -2.301123070829696e+000 -2.527511715798557e+000 -1.470907159559047e-001 1.365115107813477e+000 1.189787714138855e+000 6.745938338280200e-001
2.010612244897955e+000 -2.314377289256560e+000 -2.526599478749132e+000 -1.510782877034567e-001 1.366389626610411e+000 1.201004157711285e+000 6.751968021677602e-001
2.020408163265302e+000 -2.327149524045342e+000 -2.525408167643056e+000 -1.547151063484629e-001 1.367672490061241e+000 1.211281710459475e+000 6.757070911599284e-001
2.030204081632649e+000 -2.339464522634343e+000 -2.523943346696960e+000 -1.580110094845271e-001 1.368949309154742e+000 1.220479987795217e+000 6.763813966695931e-001
2.039999999999996e+000 -2.351323609164782e+000 -2.522261432340942e+000 -1.609341371242574e-001 1.370221390748317e+000 1.228466558329835e+000 6.774145454692676e-001
2.049795918367343e+000 -2.362696729064476e+000 -2.520471311473433e+000 -1.634011501414601e-001 1.371506656700579e+000 1.235123581758774e+000 6.789222771239563e-001
2.059591836734690e+000 -2.373521442304181e+000 -2.518728730410779e+000 -1.652771163823394e-001 1.372837133448581e+000 1.240348992037399e+000 6.809348951890483e-001
2.069387755102037e+000 -2.383709384650428e+000 -2.517222796974838e+000 -1.663853389897141e-001 1.374253105083131e+000 1.244054624303123e+000 6.834018093837252e-001
2.079183673469384e+000 -2.393159354847717e+000 -2.516156055599552e+000 -1.665252529638428e-001 1.375795175969217e+000 1.246162963083614e+000 6.862053971751807e-001
2.088979591836731e+000 -2.401776064881373e+000 -2.515722698461274e+000 -1.654952581569358e-001 1.377496722364182e+000 1.246600769380170e+000 6.891788430186853e-001
2.098775510204078e+000 -2.409493973144147e+000 -2.516089449439607e+000 -1.631176429261791e-001 1.379378319627928e+000 1.245290891485772e+000 6.921222925738145e-001
2.108571428571425e+000 -2.416301065574097e+000 -2.517383374159922e+000 -1.592609977042980e-001 1.381444974681143e+000 1.242145608154301e+000 6.948146423795689e-001
2.118367346938773e+000 -2.422250540013209e+000 -2.519691144571645e+000 -1.538536924926728e-001 1.383688321988694e+000 1.237058032774579e+000 6.970232738484066e-001
2.128163265306120e+000 -2.427450451313872e+000 -2.523069047164066e+000 -1.468855985188329e-001 1.386094691067181e+000 1.229887620126214e+000 6.985158766182109e-001
2.137959183673467e+000 -2.432032154473940e+000 -2.527556140726803e+000 -1.383998539288069e-001 1.388656136847905e+000 1.220444992447542e+000 6.990724216064077e-001
2.147755102040814e+000 -2.436108822167898e+000 -2.533183465736209e+000 -1.284780931750653e-001 1.391380949656667e+000 1.208479832034439e+000 6.984916725803632e-001
2.157551020408161e+000 -2.439740668312836e+000 -2.539976973883598e+000 -1.172247984820758e-001 1.394302092986756e+000 1.193669198363480e+000 6.965918405873921e-001
2.167346938775508e+000 -2.442919718952534e+000 -2.547955148390843e+000 -1.047573773301882e-001 1.397483103694805e+000 1.175608679281335e+000 6.932083175373346e-001
2.177142857142855e+000 -2.445577051245292e+000 -2.557123951736781e+000 -9.120601318280031e-002 1.401021563251397e+000 1.153814265075263e+000 6.881901267222474e-001
2.186938775510202e+000 -2.447608744814929e+000 -2.567472625840328e+000 -7.672442958220893e-002 1.405050941280014e+000 1.127739928038076e+000 6.813971267745815e-001
2.196734693877549e+000 -2.448913368131793e+000 -2.578971786026924e+000 -6.150829800854929e-002 1.409740798052470e+000 1.096811456400830e+000 6.726994067630977e-001
2.206530612244896e+000 -2.449426613501329e+000 -2.591569275126002e+000 -4.581089696448748e-002 1.415292071222807e+000 1.060475342561328e+000 6.619736951907334e-001
2.216326530612243e+000 -2.449132550643469e+000 -2.605178402328671e+000 -2.994443410068426e-002 1.421923281320666e+000 1.018261327433964e+000 6.490854140671357e-001
2.226122448979590e+000 -2.448042723084060e+000 -2.619662933840981e+000 -1.426692714054978e-002 1.429848630561116e+000 9.698577133158961e-001 6.338526208182993e-001
2.235918367346937e+000 -2.446159983838181e+000 -2.634830449239361e+000 8.342568691626084e-004 1.439254124040222e+000 9.152008558574519e-001 6.160073836521026e-001
2.245714285714284e+000 -2.443453407141795e+000 -2.650440575412990e+000 1.495685167779914e-002 1.450277628251116e+000 8.545798020153060e-001 5.951845858422347e-001
2.255510204081631e+000 -2.439854384823067e+000 -2.666226464355673e+000 2.770554357233790e-002 1.462996358318531e+000 7.887465125493686e-001 5.709706333983594e-001
2.265306122448978e+000 -2.435266104527657e+000 -2.681924324317194e+000 3.873385836556098e-002 1.477423770416634e+000 7.190044755758798e-001 5.430318852545689e-001
