---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "GaitNormal0001-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+000 -5.649405940000289e-001 1.146508557497361e-001 -2.658570987122320e-001 2.438998047656346e-001 -2.083621932069195e-002 -3.541212825242353e-001
1.569795918367347e+000 -5.621522640657385e-001 1.154893493071223e-001 -2.684650506237314e-001 2.525540404915830e-001 -2.080900328042882e-002 -3.379793619206609e-001
1.579591836734694e+000 -5.596645891990136e-001 1.167228304346371e-001 -2.702703659333396e-001 2.638096677134197e-001 -2.190080046077628e-002 -3.177715000594859e-001
1.589387755102041e+000 -5.574202774143994e-001 1.182778241284381e-001 -2.709578460967956e-001 2.776032167673771e-001 -2.418140115554221e-002 -2.938373913730629e-001
1.599183673469387e+000 -5.552995746245241e-001 1.200607027592262e-001 -2.701652963671783e-001 2.936786958894078e-001 -2.762218948142805e-002 -2.668051689437213e-001
1.608979591836734e+000 -5.531177207764232e-001 1.219324157268529e-001 -2.675189532311196e-001 3.115799198188479e-001 -3.200006363104591e-002 -2.376334374308722e-001
1.618775510204081e+000 -5.506342929215544e-001 1.237402608347409e-001 -2.627232536657191e-001 3.307554863490178e-001 -3.689190129613539e-002 -2.075656563169915e-001
1.628571428571428e+000 -5.475568281742161e-001 1.253656786175921e-001 -2.556572639312959e-001 3.506166441385561e-001 -4.174586184699863e-002 -1.778097006790859e-001
1.638367346938775e+000 -5.435510245324813e-001 1.267709325477469e-001 -2.464443723032197e-001 3.705396954161281e-001 -4.598246763720610e-002 -1.492416603074822e-001
1.648163265306122e+000 -5.382676959120226e-001 1.280258654374711e-001 -2.354760617111758e-001 3.898634427600036e-001 -4.907993051275686e-002 -1.224141772938930e-001
1.657959183673468e+000 -5.313932241244881e-001 1.292828450088739e-001 -2.233374601913240e-001 4.079137636376025e-001 -5.062811008771963e-002 -9.755552121873119e-002
1.667755102040815e+000 -5.227137755139207e-001 1.307412762027231e-001 -2.107084404003066e-001 4.240745627212698e-001 -5.037650311462054e-002 -7.473473527580297e-002
1.677551020408162e+000 -5.121484843266120e-001 1.326225441627893e-001 -1.982882382707445e-001 4.378603611139966e-001 -4.827029037320912e-002 -5.414488937770273e-002
1.687346938775509e+000 -4.997481712378167e-001 1.351318575703253e-001 -1.867147954245141e-001 4.489413348644885e-001 -4.443388549887083e-002 -3.610231704204046e-002
1.697142857142856e+000 -4.856480939061458e-001 1.384272170673540e-001 -1.765312279332854e-001 4.571392723529084e-001 -3.912766134390554e-002 -2.102709225884901e-002
1.706938775510203e+000 -4.700033953395133e-001 1.425847586594524e-001 -1.681581849709168e-001 4.624057372426109e-001 -3.269250288747387e-002 -9.348226739576396e-003
1.716734693877549e+000 -4.529374133410819e-001 1.475742541942555e-001 -1.618640341413465e-001 4.647942921401517e-001 -2.550057402906578e-002 -1.415958629095965e-003
1.726530612244896e+000 -4.345248973425909e-001 1.532562233600654e-001 -1.577449787003737e-001 4.644315494179158e-001 -1.791876977376009e-002 2.554440891343678e-003
