---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "GaitNormal0001-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.560000000000000e+000 2.487093898380098e-001 8.277904862953811e-002 -1.409486999372287e-001 2.145926544079254e-001 2.074492361056096e-001 -2.987589340892475e-001
1.569795918367347e+000 2.572174544642621e-001 7.505142275773746e-002 -1.314368843732316e-001 2.247445820800099e-001 1.996552406803241e-001 -3.090360074006582e-001
1.579591836734694e+000 2.650096720743225e-001 6.664441013977918e-002 -1.219599369308369e-001 2.361020133412560e-001 1.897215074973086e-001 -3.187807395397669e-001
1.589387755102041e+000 2.718846517273195e-001 5.759520643063731e-002 -1.126678158604695e-001 2.489647384171177e-001 1.775474703086158e-001 -3.274378980806278e-001
1.599183673469387e+000 2.776329795516581e-001 4.794077137604180e-002 -1.037176691981908e-001 2.637337258160572e-001 1.630756982203809e-001 -3.343496718598913e-001
1.608979591836734e+000 2.820520782432358e-001 3.774637324700958e-002 -9.526122352464450e-002 2.808619504245729e-001 1.463370780332447e-001 -3.387782921820947e-001
1.618775510204081e+000 2.849433107338031e-001 2.710178123311824e-002 -8.745104437403832e-002 3.008442633776596e-001 1.274608985315488e-001 -3.400269705851109e-001
1.628571428571428e+000 2.861070358020209e-001 1.611567361630395e-002 -8.041347491779594e-002 3.241948114067427e-001 1.066812133514999e-001 -3.374651280825726e-001
1.638367346938775e+000 2.853301580684025e-001 4.907637437394863e-003 -7.420884683166532e-002 3.514191255825740e-001 8.434223260085760e-002 -3.305150744159063e-001
1.648163265306122e+000 2.823665708652988e-001 -6.415148474517851e-003 -6.884306483355060e-002 3.829986484470137e-001 6.090346275139141e-002 -3.188797425014183e-001
1.657959183673468e+000 2.769336599959807e-001 -1.776118360892731e-002 -6.424902567463572e-002 4.193470858459291e-001 3.694160934021091e-002 -3.025303488855993e-001
1.667755102040815e+000 2.687238253163998e-001 -2.905066382295085e-002 -6.028327966753512e-002 4.607540787303675e-001 1.314704956476253e-002 -2.816824245558405e-001
1.677551020408162e+000 2.574422553013226e-001 -4.022237546112883e-002 -5.676452499431731e-002 5.073278591286186e-001 -9.697416017540803e-003 -2.569349026513406e-001
1.687346938775509e+000 2.428753215397682e-001 -5.121214284068554e-002 -5.346942765201997e-002 5.589132537325685e-001 -3.075485078755261e-002 -2.290528748523213e-001
1.697142857142856e+000 2.249695901954310e-001 -6.194018964622350e-002 -5.016972590414065e-002 6.150379100825486e-001 -4.919549221902921e-002 -1.988517667595928e-001
1.706938775510203e+000 2.038889918708741e-001 -7.230391204687536e-002 -4.668292466661850e-002 6.749048038755631e-001 -6.426548368518334e-002 -1.670496559451627e-001
1.716734693877549e+000 1.800161279412416e-001 -8.218534310607573e-002 -4.292830674655957e-002 7.374516144254284e-001 -7.534051482554256e-002 -1.341573445577315e-001
1.726530612244896e+000 1.538898644458936e-001 -9.146584968535398e-002 -3.895857557281679e-002 8.014658696304867e-001 -8.195514025887918e-002 -1.004121786999231e-001
