---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitNormal0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
1.560000000000000e+000 -1.656554223559265e-001 9.237897376221665e-001 -3.175771636471811e-001 2.365188862569723e-002 1.103518324657216e-001 -6.279369844283206e-002 -1.111453640207314e-001 4.141164156324034e-002 -2.674094849835000e-001 -5.777244372396621e-002
1.569795918367347e+000 -1.522350220797559e-001 9.227632082929239e-001 -3.170675204100220e-001 2.068775529958931e-002 1.162465269866344e-001 -6.319410740358353e-002 -1.091027725147882e-001 4.856388281579249e-002 -2.705961121139626e-001 -5.438099517278815e-002
1.579591836734694e+000 -1.385946159857990e-001 9.219214383238183e-001 -3.165559399408526e-001 1.703454480148790e-002 1.216003272356756e-001 -6.381408828816872e-002 -1.068093877520070e-001 5.646507130286297e-002 -2.732678203335605e-001 -5.089701044206101e-002
1.589387755102041e+000 -1.247993237198937e-001 9.213096225478844e-001 -3.160399325439923e-001 1.271057035552656e-002 1.262277386493238e-001 -6.461343716088197e-002 -1.043296236817349e-001 6.502951187523148e-002 -2.752876939785353e-001 -4.736187199173443e-002
1.599183673469387e+000 -1.108923460876058e-001 9.209698635125195e-001 -3.155138892411867e-001 7.754053831525589e-003 1.299446187801228e-001 -6.552415350565398e-002 -1.017609509685589e-001 7.414913708054338e-002 -2.765203348152494e-001 -4.382176825261560e-002
1.608979591836734e+000 -9.690910459281746e-002 9.209330261106593e-001 -3.149694367442855e-001 2.245931455103312e-003 1.326010559542015e-001 -6.644577613863088e-002 -9.923609670007594e-002 8.366865162180602e-002 -2.768626469976431e-001 -4.032708734387286e-002
1.618775510204081e+000 -8.287946675429359e-002 9.212170272098861e-001 -3.143958615682383e-001 -3.689732239376848e-003 1.340992072925011e-001 -6.724755048119298e-002 -9.691623803843924e-002 9.338724291201488e-002 -2.762578479784582e-001 -3.692077744032624e-002
1.628571428571428e+000 -6.882931124952790e-002 9.218260281013777e-001 -3.137806837193007e-001 -9.896727809828750e-003 1.344122942489427e-001 -6.777983402904041e-002 -9.497573655996694e-002 1.030736052657768e-001 -2.747078782787360e-001 -3.362876400438942e-002
1.638367346938775e+000 -5.478215185387321e-002 9.227512603007573e-001 -3.131106237015304e-001 -1.620839339509477e-002 1.335979718942206e-001 -6.789818643026600e-002 -9.357617676999774e-002 1.124931125078979e-001 -2.722797211201832e-001 -3.045902670448519e-002
1.648163265306122e+000 -4.076103384226088e-002 9.239731930903443e-001 -3.123727542549367e-001 -2.247229742747264e-002 1.317991779471428e-001 -6.749012962280498e-002 -9.284204813043566e-002 1.214374710819801e-001 -2.691032321899866e-001 -2.738494797262581e-002
1.657959183673468e+000 -2.679053435460216e-002 9.254635698690482e-001 -3.115557587723436e-001 -2.857073208978798e-002 1.292291386001687e-001 -6.650384043045710e-002 -9.283351268491005e-002 1.297482253231025e-001 -2.653552812537731e-001 -2.435084659978491e-002
1.667755102040815e+000 -1.289812413694902e-002 9.271875412899491e-001 -3.106514579879277e-001 -3.443415590895188e-002 1.261431767188981e-001 -6.497083979865685e-002 -9.352209434407034e-002 1.373323681289851e-001 -2.612305961268025e-001 -2.131274027061048e-002
1.677551020408162e+000 8.855605828939093e-004 9.291059009017214e-001 -3.096566975782233e-001 -4.004851379886660e-002 1.228046683984956e-001 -6.300219594791656e-002 -9.480027664763055e-002 1.441733873219511e-001 -2.569152651461212e-001 -1.820116069996495e-002
1.687346938775509e+000 1.452881521759434e-002 9.311771865337860e-001 -3.085753270740951e-001 -4.544904294222983e-002 1.194499057193348e-001 -6.077017802053248e-002 -9.649664040497291e-002 1.503265228840266e-001 -2.525563746339033e-001 -1.496352456750633e-002
1.697142857142856e+000 2.800278033318533e-002 9.333599112431931e-001 -3.074195083806391e-001 -5.069946064943164e-002 1.162597246515633e-001 -5.846216719389231e-002 -9.842155375066823e-002 1.558963152937871e-001 -2.482415178224202e-001 -1.156356313074123e-002
1.706938775510203e+000 4.128590204831651e-002 9.356148142733017e-001 -3.062092367324931e-001 -5.586074863064770e-002 1.133409145767719e-001 -5.622793649627189e-002 -1.004179929797996e-001 1.609979911372836e-001 -2.439886252848237e-001 -7.986382652140132e-003
1.716734693877549e+000 5.436703326040476e-002 9.379070475602767e-001 -3.049696157393440e-001 -6.096240027155641e-002 1.107204496935492e-001 -5.414197206517546e-002 -1.023973869356365e-001 1.657172558082061e-001 -2.397502995078880e-001 -4.241733943130753e-003
1.726530612244896e+000 6.724609021873351e-002 9.402078134233838e-001 -3.037266278172022e-001 -6.598619142856103e-002 1.083546780941189e-001 -5.219737344436736e-002 -1.043439089592171e-001 1.700827486233750e-001 -2.354322609025324e-001 -3.658390645749664e-004
1.736326530612243e+000 7.993238734113817e-002 9.424949121318498e-001 -3.025029595921280e-001 -7.086482623779758e-002 1.061514657440652e-001 -5.033091643185635e-002 -1.062875523475812e-001 1.740575001116128e-001 -2.309198655503091e-001 3.572563503342197e-003
1.746122448979590e+000 9.244090082668216e-002 9.447520742525415e-001 -3.013151708805285e-001 -7.549258972211888e-002 1.039962101417249e-001 -4.846472257316930e-002 -1.082661598805774e-001 1.775479860583359e-001 -2.261077671946523e-001 7.510168827221307e-003
1.755918367346937e+000 1.047886820347556e-001 9.469674919297403e-001 -3.001728599180272e-001 -7.974446153428583e-002 1.017764599135416e-001 -4.654426763921417e-002 -1.102879050156732e-001 1.804266247217267e-001 -2.209190065365238e-001 1.135280266772896e-002
1.765714285714284e+000 1.169910482161544e-001 9.491319698407719e-001 -2.990792983805760e-001 -8.349633760217244e-002 9.939516945577798e-002 -4.456157221363211e-002 -1.123177982799247e-001 1.825576968705696e-001 -2.153195708555181e-001 1.502635642529620e-002
1.775510204081630e+000 1.290602523934025e-001 9.512373200938232e-001 -2.980336738283640e-001 -8.664080808284924e-002 9.677693064308190e-002 -4.255655167768632e-002 -1.142800592333755e-001 1.838204081677638e-001 -2.093174195124699e-001 1.846599089140287e-002
1.785306122448977e+000 1.410057866414700e-001 9.532751854401639e-001 -2.970336656396194e-001 -8.909733153847017e-002 9.386245961606998e-002 -4.060564223461401e-002 -1.160721800425289e-001 1.841248655415073e-001 -2.029480454930951e-001 2.162814231251552e-002
1.795102040816324e+000 1.528357760972205e-001 9.552362260067769e-001 -2.960771411252852e-001 -9.082104903694369e-002 9.060301386463188e-002 -3.880115764687634e-002 -1.175863174690084e-001 1.834246600898287e-001 -1.962579616257330e-001 2.449219294652811e-002
1.804897959183671e+000 1.645579210018678e-001 9.571100141099374e-001 -2.951632383198493e-001 -9.180038259243593e-002 8.696729742295206e-002 -3.722972465179688e-002 -1.187314313441030e-001 1.817167776838574e-001 -1.893027778789578e-001 2.705852001192329e-002
1.814693877551018e+000 1.761799054572757e-001 9.588848407048063e-001 -2.942916877299466e-001 -9.205894732578084e-002 8.294747591622231e-002 -3.595400648319921e-002 -1.194533943525412e-001 1.790431164231867e-001 -1.821471286787271e-001 2.935166976346153e-002
1.824489795918365e+000 1.877091875923636e-001 9.605482719528170e-001 -2.934629886906073e-001 -9.164143377843667e-002 7.856084252340989e-002 -3.500311062777026e-002 -1.197440631161695e-001 1.754744833487556e-001 -1.748635759181375e-001 3.141672654709830e-002
1.834285714285711e+000 1.991529601560307e-001 9.620875429589515e-001 -2.926777936167536e-001 -9.060958001637272e-002 7.383899504652591e-002 -3.437022485377772e-002 -1.196420113432720e-001 1.711029799400436e-001 -1.675208755952552e-001 3.331413082012494e-002
1.844081632653058e+000 2.105179062152882e-001 9.634906185273070e-001 -2.919372367611364e-001 -8.903089701077697e-002 6.881801550759059e-002 -3.402154375344110e-002 -1.192194074596303e-001 1.660276839088445e-001 -1.601755848863958e-001 3.511074559917416e-002
1.853877551020405e+000 2.218105314490722e-001 9.647468436959304e-001 -2.912425899215327e-001 -8.697484497375327e-002 6.353083130284509e-002 -3.390467837018293e-002 -1.185691174457340e-001 1.603478638689301e-001 -1.528665814023779e-001 3.687047111383430e-002
1.863673469387752e+000 2.330375201765726e-001 9.658473556838064e-001 -2.905948572824288e-001 -8.450546068397344e-002 5.800537252845039e-002 -3.395540977034909e-002 -1.177941419888344e-001 1.541526770377589e-001 -1.456162939059374e-001 3.864755473838508e-002
1.873469387755099e+000 2.442058055552354e-001 9.667852166519181e-001 -2.899941849646625e-001 -8.167711963775878e-002 5.226670252795485e-002 -3.410487902726733e-002 -1.169983670591849e-001 1.475149151816678e-001 -1.384357724402610e-001 4.048481259422504e-002
1.883265306122446e+000 2.553222792745108e-001 9.675555496711393e-001 -2.894395119097001e-001 -7.853509188116142e-002 4.634124894164016e-002 -3.429161138370655e-002 -1.162731334791450e-001 1.404916406373128e-001 -1.313309865588881e-001 4.241474172404572e-002
1.893061224489792e+000 2.663934580624507e-001 9.681557056203319e-001 -2.889286665737345e-001 -7.511909417440124e-002 4.026011167971322e-002 -3.447418641425640e-002 -1.156831118709271e-001 1.331296621025717e-001 -1.243071652967715e-001 4.446064300738211e-002
1.902857142857139e+000 2.774252754658285e-001 9.685853098790137e-001 -2.884588813298922e-001 -7.146746785994010e-002 3.405998637034480e-002 -3.463705766164956e-002 -1.152599530252331e-001 1.254726613957136e-001 -1.173702795264309e-001 4.663708955730347e-002
1.912653061224486e+000 2.884230363488646e-001 9.688460827851098e-001 -2.880275615072617e-001 -6.762165412681825e-002 2.778268349768820e-002 -3.478869857345775e-002 -1.150050621228789e-001 1.175691631266383e-001 -1.105273277999684e-001 4.895037114463397e-002
1.922448979591833e+000 2.993916451497470e-001 9.689414304535726e-001 -2.876330842201289e-001 -6.363104199989657e-002 2.147337093959245e-002 -3.495604307729228e-002 -1.148963450717413e-001 1.094806547622080e-001 -1.037857048902507e-001 5.139859596588736e-002
1.932244897959180e+000 3.103360372166984e-001 9.688759188029967e-001 -2.872753671373036e-001 -5.955659211885728e-002 1.517637736138688e-002 -3.517794954916881e-002 -1.148951288305954e-001 1.012870705970397e-001 -9.715046611490036e-002 5.397019387066820e-002
1.942040816326527e+000 3.212615579008651e-001 9.686548266298600e-001 -2.869560047870092e-001 -5.547100238317154e-002 8.929667892603410e-003 -3.549873569913113e-002 -1.149525920759625e-001 9.308679906822608e-002 -9.062107893141205e-002 5.664098978661929e-002
1.951836734693873e+000 3.321741777808845e-001 9.682838518888187e-001 -2.866780155362551e-001 -5.145477481792352e-002 2.761441513593255e-003 -3.596206610114554e-002 -1.150163563063406e-001 8.499093914731425e-002 -8.419176879965196e-002 5.937230560770154e-002
1.961632653061220e+000 3.430806235895888e-001 9.677688435623290e-001 -2.864453845111901e-001 -4.759020525661291e-002 -3.309901338470311e-003 -3.660462112431144e-002 -1.150381156448126e-001 7.711450457777160e-002 -7.785584063595279e-002 6.211267874352516e-002
1.971428571428567e+000 3.539882689826730e-001 9.671156204748453e-001 -2.862628341621254e-001 -4.395342157572567e-002 -9.273100082110020e-003 -3.745238137220418e-002 -1.149788783669110e-001 6.956582907906460e-002 -7.161135162242224e-002 6.480264916254638e-002
1.981224489795914e+000 3.649051876872355e-001 9.663295788926739e-001 -2.861351813279197e-001 -4.061421132592142e-002 -1.512302380783659e-002 -3.851514255739809e-002 -1.148160185800140e-001 6.244414279584615e-002 -6.546260714093868e-002 6.738056990799347e-002
1.991020408163261e+000 3.758401245109475e-001 9.654155951168904e-001 -2.860674563273518e-001 -3.763367239929812e-002 -2.085830168968661e-002 -3.978748411233554e-002 -1.145423900675203e-001 5.583692972921425e-002 -5.942156175744692e-002 6.978581819218212e-002
2.000816326530608e+000 3.868032214439345e-001 9.643777087739831e-001 -2.860652003982906e-001 -3.506562784218011e-002 -2.648359007807710e-002 -4.124727327697420e-002 -1.141664468708596e-001 4.982144825081582e-002 -5.350277896175880e-002 7.196045554809963e-002
2.010612244897955e+000 3.978068015615531e-001 9.632187097172316e-001 -2.861353870319559e-001 -3.295563207434278e-002 -3.201571162533590e-002 -4.285533627550441e-002 -1.137104245191107e-001 4.446421663487177e-002 -4.771381030472301e-002 7.384930942552948e-002
2.020408163265302e+000 4.088657977834982e-001 9.619395370415369e-001 -2.862868392912771e-001 -3.134462780109092e-002 -3.749114230762407e-002 -4.455263322458986e-002 -1.132125616307068e-001 3.982478167503086e-002 -4.204424906392841e-002 7.540392883150746e-002
2.030204081632649e+000 4.199970066279617e-001 9.605391841624241e-001 -2.865306644404136e-001 -3.026819312685495e-002 -4.296340635428031e-002 -4.626874779666613e-002 -1.127184854729406e-001 3.595647890188238e-002 -3.646555056066075e-002 7.658407389216897e-002
2.039999999999996e+000 4.312180578531448e-001 9.590150250485339e-001 -2.868791862642879e-001 -2.975940752639191e-002 -4.849356709527752e-002 -4.793357535798770e-002 -1.122692501405044e-001 3.290974513599878e-002 -3.093788643762739e-002 7.735232945576000e-002
2.049795918367343e+000 4.425456788089134e-001 9.573643684639877e-001 -2.873436968493741e-001 -2.984726880979407e-002 -5.413384246748021e-002 -4.949467447322824e-002 -1.118852982462557e-001 3.072935526416576e-002 -2.542685815491401e-002 7.768614749746640e-002
