---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-Runner-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
8.600000000000000e-001 3.150142971121168e-001 2.060232677832370e-001 3.132943117887565e-002 8.202501058574703e-001 4.884040820484884e-001 -1.187214190774199e-001
8.629943502824858e-001 2.855109901104805e-001 2.151564339131451e-001 3.220630536255015e-002 8.138614302705124e-001 4.622871443964608e-001 -1.233756265697800e-001
8.659887005649717e-001 2.556851771535677e-001 2.238244893986425e-001 3.361386280722947e-002 8.059665927331156e-001 4.335625224289238e-001 -1.279157115890358e-001
8.689830508474575e-001 2.256852076573391e-001 2.319360971951161e-001 3.548488110859106e-002 7.967553852331973e-001 4.024767001855134e-001 -1.322076117200532e-001
8.719774011299434e-001 1.956672102184143e-001 2.394105419375519e-001 3.773602243106906e-002 7.864454047369149e-001 3.693069693718191e-001 -1.361262895921896e-001
8.749717514124292e-001 1.657935014203750e-001 2.461806900109302e-001 4.027255100256511e-002 7.752801782557722e-001 3.343607292615843e-001 -1.395625912636760e-001
8.779661016949151e-001 1.362306420392223e-001 2.521952922797950e-001 4.299384288435924e-002 7.635267418478197e-001 2.979739390980092e-001 -1.424298984228034e-001
8.809604519774009e-001 1.071470582487818e-001 2.574204663268311e-001 4.579928746123605e-002 7.514725534552710e-001 2.605084717697197e-001 -1.446701824592736e-001
8.839548022598868e-001 7.871025026743259e-002 2.618403166319607e-001 4.859412533498621e-002 7.394216659894859e-001 2.223481913853728e-001 -1.462590522601555e-001
8.869491525423726e-001 5.108369463641119e-002 2.654566942155157e-001 5.129479152943899e-002 7.276901240881665e-001 1.838935996095370e-001 -1.472092484171183e-001
8.899435028248585e-001 2.442361464152544e-002 2.682881174383116e-001 5.383341756786664e-002 7.166006135380584e-001 1.455548919415150e-001 -1.475719191692212e-001
8.929378531073443e-001 -1.124196422342277e-003 2.703679243220214e-001 5.616123492046450e-002 7.064764484279937e-001 1.077432801270416e-001 -1.474350445345603e-001
8.959322033898302e-001 -2.542730941012439e-002 2.717418042089761e-001 5.825064988877139e-002 6.976350479304240e-001 7.086059792926824e-002 -1.469186298807083e-001
8.989265536723160e-001 -4.836912574957290e-002 2.724649277758777e-001 6.009576302773642e-002 6.903811939422634e-001 3.528766420672431e-002 -1.461667933414483e-001
9.019209039548018e-001 -6.985075593407675e-002 2.725989324181519e-001 6.171128618150611e-002 6.850003944300168e-001 1.372369074452535e-003 -1.453374876470881e-001
9.049152542372877e-001 -8.979232089559482e-002 2.722089589892884e-001 6.313000518694446e-002 6.817526933405208e-001 -3.058124936030453e-002 -1.445909406087962e-001
9.079096045197735e-001 -1.081337285264267e-001 2.713609017645915e-001 6.439909512105455e-002 6.808671856122726e-001 -6.032201958655273e-002 -1.440778835702024e-001
9.109039548022594e-001 -1.248348810801221e-001 2.701190609710071e-001 6.557567652882983e-002 6.825374760587089e-001 -8.765832666925402e-002 -1.439285481519198e-001
