---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\LowerBody-Runner-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
8.600000000000000e-001 2.730594589212136e-001 -1.782560247181272e+000 1.026216837416853e+000 1.689440226305331e+000 3.588223864478199e-001 1.386206133352707e+000 1.466079620649499e-001 -1.398217176182844e-001 3.267117271623518e-001 1.638396406104470e-001
8.629943502824858e-001 2.737267280123981e-001 -1.753646614276972e+000 1.026342762757487e+000 1.693373907714149e+000 3.580280482919693e-001 1.390775629318283e+000 1.509655414850320e-001 -1.489048828335464e-001 3.351264130949254e-001 1.578094868694951e-001
8.659887005649717e-001 2.744256943155981e-001 -1.724564455122366e+000 1.026554729867795e+000 1.697223520601189e+000 3.571121672588093e-001 1.395678296200088e+000 1.551796320376880e-001 -1.579665911432164e-001 3.430958648498267e-001 1.516031188195774e-001
8.689830508474575e-001 2.751540311412530e-001 -1.695343660248672e+000 1.026848324020171e+000 1.700952982443302e+000 3.560926973006948e-001 1.400852966377980e+000 1.592381105238255e-001 -1.669804331705784e-001 3.506445048638505e-001 1.452793161966378e-001
8.719774011299434e-001 2.759090932639818e-001 -1.666012915350568e+000 1.027218786100401e+000 1.704524990397415e+000 3.549880788810291e-001 1.406233819604613e+000 1.631282130224439e-001 -1.759177147185587e-001 3.578009605231817e-001 1.388965377331263e-001
8.749717514124292e-001 2.766879807105791e-001 -1.636599605882581e+000 1.027661134470025e+000 1.707901945974675e+000 3.538166959974833e-001 1.411751981191597e+000 1.668364995988880e-001 -1.847478968493683e-001 3.645967172702633e-001 1.325157847948311e-001
8.779661016949151e-001 2.774876078740754e-001 -1.607129726981348e+000 1.028170270773650e+000 1.711046890756525e+000 3.525963529044209e-001 1.417337266156628e+000 1.703488594023796e-001 -1.934391097722299e-001 3.710646879582109e-001 1.261997335012313e-001
8.809604519774009e-001 2.783047727441779e-001 -1.577627798245695e+000 1.028741074356718e+000 1.713924411377944e+000 3.513437251629292e-001 1.422919985973809e+000 1.736504939606489e-001 -2.019586910004514e-001 3.772377387591885e-001 1.200118299130970e-001
8.839548022598868e-001 2.791362209150277e-001 -1.548116781711979e+000 1.029368483944856e+000 1.716501507373952e+000 3.500737727779386e-001 1.428432705129356e+000 1.767258463779049e-001 -2.102737706787478e-001 3.831472995401133e-001 1.140153469376085e-001
8.869491525423726e-001 2.799787014775648e-001 -1.518618003817247e+000 1.030047566061223e+000 1.718748401308228e+000 3.487991383542892e-001 1.433811858390591e+000 1.795584813925877e-001 -2.183519109980444e-001 3.888221839084526e-001 1.082724265962901e-001
8.899435028248585e-001 2.808290154708362e-001 -1.489151086848334e+000 1.030773570149894e+000 1.720639252601729e+000 3.475295796826208e-001 1.438999199703076e+000 1.821309436796514e-001 -2.261617654490713e-001 3.942876842566981e-001 1.028431482989720e-001
8.929378531073443e-001 2.816840598429688e-001 -1.459733894590607e+000 1.031541970245326e+000 1.722152744613683e+000 3.462714806380698e-001 1.443943095789623e+000 1.844246173099774e-001 -2.336737050970820e-001 3.995649157322532e-001 9.778466259779257e-002
8.959322033898302e-001 2.825408697451676e-001 -1.430382492230672e+000 1.032348492315200e+000 1.723272534187416e+000 3.450274904696606e-001 1.448599646926722e+000 1.864196354683312e-001 -2.408603828097812e-001 4.046703308616655e-001 9.315041829276742e-002
8.989265536723160e-001 2.833966587805675e-001 -1.401111125228974e+000 1.033189126010033e+000 1.723987558292480e+000 3.437963620540858e-001 1.452933547238419e+000 1.880949109452533e-001 -2.476972416792659e-001 4.096153943607316e-001 8.898952120827604e-002
9.019209039548018e-001 2.842488557748795e-001 -1.371932220643038e+000 1.034060121422560e+000 1.724292207756397e+000 3.425730042872235e-001 1.456918639013290e+000 1.894282924019179e-001 -2.541629814920896e-001 4.144064723308139e-001 8.534623668573220e-002
9.049152542372877e-001 2.850951397389301e-001 -1.342856408281923e+000 1.034957970210456e+000 1.724186341864715e+000 3.413486810339228e-001 1.460538147953032e+000 1.903967866510856e-001 -2.602399345683114e-001 4.190449604150083e-001 8.225962244809787e-002
9.079096045197735e-001 2.859334746591022e-001 -1.313892552422490e+000 1.035879371894052e+000 1.723675123231822e+000 3.401112904882262e-001 1.463784602989396e+000 1.909768037970789e-001 -2.659143008328834e-001 4.235276145308711e-001 7.976328249816428e-002
9.109039548022594e-001 2.867621387344091e-001 -1.285047795497602e+000 1.036821189400612e+000 1.722768701904657e+000 3.388457376154905e-001 1.466659425698754e+000 1.911444376777763e-001 -2.711762610513850e-001 4.278470765460180e-001 7.788526102109225e-002
