---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\FullBody-GaitUniMiami-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
3.128333333333333e+000 1.233605992466819e+000 3.366428829679931e-001 1.023533450190295e+000 -1.626412066337835e+000 2.886041130018074e+000 3.316977802242116e-002 1.700687618038114e-001 6.089188456883568e-002 -2.000767235474710e-002 5.602125539433022e-001
3.136458333333334e+000 1.224292694004569e+000 3.373311502206514e-001 1.024452439797452e+000 -1.626282282939187e+000 2.887118732285149e+000 3.264855944736622e-002 1.690329185026266e-001 5.910615796457279e-002 -1.624243355066300e-002 5.590043662339106e-001
3.144583333333334e+000 1.214996187995072e+000 3.379893990052920e-001 1.025285856302827e+000 -1.626002964339132e+000 2.888254711774448e+000 3.191551465024967e-002 1.679368368086026e-001 5.710931005592115e-002 -1.246177121005643e-002 5.579050533152343e-001
3.152708333333334e+000 1.205717500306830e+000 3.386111604511771e-001 1.026026720377543e+000 -1.625572571446082e+000 2.889398129913775e+000 3.095759828020794e-002 1.668258579210207e-001 5.492155418946518e-002 -8.681693643146849e-003 5.569050258778229e-001
3.160833333333334e+000 1.196459173452678e+000 3.391898110599883e-001 1.026668385629184e+000 -1.625000446014984e+000 2.890484781906719e+000 2.976630975155326e-002 1.657579596428876e-001 5.257693377394365e-002 -4.916385309633488e-003 5.559994169010630e-001
3.168958333333334e+000 1.187224069090576e+000 3.397189802924957e-001 1.027204722665602e+000 -1.624300968084409e+000 2.891447950207710e+000 2.833296727559098e-002 1.647939868808686e-001 5.011291761325887e-002 -1.175075908513639e-003 5.551895825503092e-001
3.177083333333334e+000 1.178013845434614e+000 3.401929598126861e-001 1.027630339819160e+000 -1.623489453078792e+000 2.892231090313986e+000 2.664652637023535e-002 1.639862259446309e-001 4.756332873644951e-002 2.538749388119151e-003 5.544834522690104e-001
3.185208333333335e+000 1.168827626843431e+000 3.406070041820752e-001 1.027940777874314e+000 -1.622583180353765e+000 2.892798611486377e+000 2.469697959543371e-002 1.633686684565007e-001 4.496016927473738e-002 6.223371764795932e-003 5.538928636614257e-001
3.193333333333335e+000 1.159661490075444e+000 3.409573851404348e-001 1.028132634320239e+000 -1.621607553375920e+000 2.893141633758310e+000 2.248317165099056e-002 1.629511548510252e-001 4.234410777038437e-002 9.871036018451778e-003 5.534292542114748e-001
3.201458333333335e+000 1.150508831846444e+000 3.412412869534537e-001 1.028203543041337e+000 -1.620602796443984e+000 2.893277874846894e+000 2.001919073108249e-002 1.627184791272233e-001 3.977568707984289e-002 1.346179623118479e-002 5.531003393118945e-001
3.209583333333335e+000 1.141361219691433e+000 3.414566537868427e-001 1.028151991242217e+000 -1.619624970723609e+000 2.893246826656346e+000 1.733343375918794e-002 1.626343482874178e-001 3.733728610806966e-002 1.696494020045243e-002 5.529088421501895e-001
3.217708333333335e+000 1.132209366663423e+000 3.416020064332654e-001 1.027977116433577e+000 -1.618740227572902e+000 2.893101766759544e+000 1.446080733480004e-002 1.626492192783044e-001 3.512431311030267e-002 2.034702369221399e-002 5.528518241760084e-001
3.225833333333335e+000 1.123044069192161e+000 3.416762385291342e-001 1.027678663607120e+000 -1.618016151057267e+000 2.892900095778928e+000 1.143299411846277e-002 1.627102888392615e-001 3.323174182034788e-002 2.358072675559761e-002 5.529192578332079e-001
3.233958333333336e+000 1.113857115959538e+000 3.416784197236592e-001 1.027257081515143e+000 -1.617513332913091e+000 2.892693174714301e+000 8.269761345209847e-003 1.627717192511357e-001 3.174091543676912e-002 2.665193681346144e-002 5.530938736867265e-001
3.242083333333336e+000 1.104642030026779e+000 3.416076435242393e-001 1.026713575711961e+000 -1.617279354622794e+000 2.892518622949731e+000 4.972627758581094e-003 1.628014682405571e-001 3.070993817444122e-002 2.956516810034522e-002 5.533559849575462e-001
