---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\LowerBody-GaitUniMiami-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
3.128333333333333e+000 4.638119768790901e-001 1.858737998757523e-001 2.420775064866181e-001 1.171452206116249e+000 3.317670936563610e-001 -5.554856806818500e-003
3.136458333333334e+000 4.835151489975589e-001 1.852927635196353e-001 2.468055985067656e-001 1.171467606077493e+000 3.500733367018135e-001 -8.003203336016146e-003
3.144583333333334e+000 5.023957183556170e-001 1.844934099119651e-001 2.523068894872278e-001 1.167706099539765e+000 3.676702862740193e-001 -1.199092777592976e-002
3.152708333333334e+000 5.204291580200831e-001 1.834590574051742e-001 2.585354850126462e-001 1.160215796184911e+000 3.842762464055217e-001 -1.711910621092863e-002
3.160833333333334e+000 5.376214983555266e-001 1.821862306371800e-001 2.654399832872850e-001 1.149079746978013e+000 3.996883303381407e-001 -2.304534517899459e-002
3.168958333333334e+000 5.539920182616033e-001 1.806819424269874e-001 2.729765266768350e-001 1.134404319153427e+000 4.137637451610485e-001 -2.949240292581421e-002
3.177083333333334e+000 5.695524409994295e-001 1.789606116434657e-001 2.811170841589302e-001 1.116305192119614e+000 4.264105628184512e-001 -3.624754855665832e-002
3.185208333333335e+000 5.842932134369137e-001 1.770478864050664e-001 2.898580176572618e-001 1.094904869658353e+000 4.375893418154123e-001 -4.316442257489474e-002
3.193333333333335e+000 5.981776856080552e-001 1.749792296088983e-001 2.992020113429746e-001 1.070321929465219e+000 4.473041962477370e-001 -5.016737139363452e-002
3.201458333333335e+000 6.111487473924263e-001 1.728043710957248e-001 3.091543169056090e-001 1.042678569826171e+000 4.555962685215489e-001 -5.725320322859102e-002
3.209583333333335e+000 6.231372661773016e-001 1.705829941791133e-001 3.197172224895027e-001 1.012101034476654e+000 4.625300991323191e-001 -6.448641181961501e-002
3.217708333333335e+000 6.340705428420296e-001 1.683772640852643e-001 3.308960978489538e-001 9.787190710296179e-001 4.681798524033424e-001 -7.199712869842177e-002
3.225833333333335e+000 6.438809068472191e-001 1.662439250129153e-001 3.427104148967066e-001 9.426646265721400e-001 4.726176169915632e-001 -7.998478953797454e-002
3.233958333333336e+000 6.525153442078259e-001 1.642277952554900e-001 3.552050205408326e-001 9.040714645111592e-001 4.759029079570999e-001 -8.871870022165684e-002
3.242083333333336e+000 6.599433030402350e-001 1.623581235136615e-001 3.684586375174664e-001 8.630767046549215e-001 4.780731691341951e-001 -9.852820277582081e-002
3.250208333333336e+000 6.661580967576907e-001 1.606497291064442e-001 3.825866631275256e-001 8.198262531344582e-001 4.791379817540952e-001 -1.097884025026627e-001
3.258333333333336e+000 6.711734380588554e-001 1.591075724384643e-001 3.977376582115603e-001 7.744860257959669e-001 4.790788375770869e-001 -1.229104315863780e-001
3.266458333333336e+000 6.750218470433335e-001 1.577308465452685e-001 4.140851181170139e-001 7.272587719130894e-001 4.778532343699130e-001 -1.383345206983077e-001
3.274583333333336e+000 6.777584083386855e-001 1.565153415590781e-001 4.318156168688856e-001 6.784056251148470e-001 4.754023253241873e-001 -1.565166843650794e-001
3.282708333333336e+000 6.794690344923021e-001 1.554564996794667e-001 4.511143826229599e-001 6.282739840143239e-001 4.716690256331701e-001 -1.779035543308610e-001
3.290833333333337e+000 6.802791182798093e-001 1.545559811690753e-001 4.721530473309311e-001 5.773198261859456e-001 4.665915461963858e-001 -2.029160949726671e-001
3.298958333333337e+000 6.803656268060870e-001 1.538311836277420e-001 4.950786205378145e-001 5.261465922950471e-001 4.601619170663889e-001 -2.319136232568884e-001
3.307083333333337e+000 6.799599318139588e-001 1.533256832116878e-001 5.200107697107911e-001 4.755125835579450e-001 4.524235087349406e-001 -2.651916823697171e-001
3.315208333333337e+000 6.793405840381772e-001 1.531152539692557e-001 5.470406502991229e-001 4.263218277373520e-001 4.434952458455763e-001 -3.029731946763726e-001
3.323333333333337e+000 6.788082730367417e-001 1.533040601834532e-001 5.762253702508754e-001 3.795735092760009e-001 4.335682838521189e-001 -3.453979693359514e-001
3.331458333333337e+000 6.786446385295671e-001 1.540080556465127e-001 6.075643125047874e-001 3.362697952396363e-001 4.228658860778343e-001 -3.924866677740710e-001
3.339583333333338e+000 6.790649319485745e-001 1.553287034089717e-001 6.409419713137026e-001 2.972986768379874e-001 4.115682764728394e-001 -4.440574709453216e-001
3.347708333333338e+000 6.801779309152631e-001 1.573244970833305e-001 6.760343235521562e-001 2.633221159126065e-001 3.997315757604423e-001 -4.995935170554267e-001
3.355833333333338e+000 6.819630493924159e-001 1.599870305937998e-001 7.122019350369586e-001 2.346983207863697e-001 3.872464346569733e-001 -5.580937697271633e-001
3.363958333333338e+000 6.842683745068681e-001 1.632215885009971e-001 7.483900725008224e-001 2.114470832042766e-001 3.738779677839777e-001 -6.179358958603313e-001
3.372083333333338e+000 6.868384299269229e-001 1.668514397281555e-001 7.832070548679755e-001 1.932952949842146e-001 3.593836502667747e-001 -6.769768422075766e-001
