---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\FullBody-GaitNormal_1-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.560000000000000e+000 -2.235811437878604e-001 -3.052903866189927e-002 3.500461430136603e-001 2.319508448651550e-001 6.025077772125738e-001 -4.764185655029195e-001
1.569795918367347e+000 -2.329503782091105e-001 -2.277602410431978e-002 3.370441127520172e-001 2.396957716932683e-001 5.907776608962960e-001 -4.731520051726745e-001
1.579591836734694e+000 -2.421038609681294e-001 -1.453938581541192e-002 3.230522436051522e-001 2.476181152975458e-001 5.754085990062342e-001 -4.675879215887639e-001
1.589387755102041e+000 -2.508216948016995e-001 -5.818731197094529e-003 3.082210732806018e-001 2.560546460700943e-001 5.562087548632748e-001 -4.595507784648346e-001
1.599183673469387e+000 -2.588649368345512e-001 3.379389107385222e-003 2.926849911301187e-001 2.654592393045763e-001 5.330184713804660e-001 -4.488438184279842e-001
1.608979591836734e+000 -2.659763920334902e-001 1.301325318130497e-002 2.765966539321633e-001 2.763670661170743e-001 5.057932486293616e-001 -4.353225953291366e-001
1.618775510204081e+000 -2.718749220603987e-001 2.300191129714291e-002 2.601462985757232e-001 2.893789400685242e-001 4.746269425082760e-001 -4.189363644239269e-001
1.628571428571428e+000 -2.762490135708522e-001 3.322593032218180e-002 2.435635745122357e-001 3.051371830148721e-001 4.397686160811442e-001 -3.997571980317731e-001
1.638367346938775e+000 -2.787521195353434e-001 4.353320853623455e-002 2.270992478478007e-001 3.242923454235751e-001 4.016309944402684e-001 -3.779828824038619e-001
1.648163265306122e+000 -2.790094521788689e-001 5.374909786984050e-002 2.109980011571927e-001 3.474595923786479e-001 3.607940363040037e-001 -3.539132328217269e-001
1.657959183673468e+000 -2.766436112817610e-001 6.368791376732874e-002 1.954721463784960e-001 3.751634709987549e-001 3.180042888079840e-001 -3.279042003158536e-001
1.667755102040815e+000 -2.713154795922367e-001 7.316406450941937e-002 1.806795679156023e-001 4.077752110072545e-001 2.741678844860279e-001 -3.003097494123099e-001
1.677551020408162e+000 -2.627707783456295e-001 8.200133935559872e-002 1.667087801105336e-001 4.454521421137835e-001 2.303310482014168e-001 -2.714264744942030e-001
1.687346938775509e+000 -2.508792524599587e-001 9.003872254422052e-002 1.535795592449582e-001 4.880939594406218e-001 1.876390249225682e-001 -2.414599023749609e-001
1.697142857142856e+000 -2.356558902953738e-001 9.713311375894862e-002 1.412641749256195e-001 5.353286890342163e-001 1.472648881863375e-001 -2.105240871385433e-001
1.706938775510203e+000 -2.172598664756109e-001 1.031623161234285e-001 1.297241560450237e-001 5.865338476504981e-001 1.103168971407156e-001 -1.786725554092401e-001
1.716734693877549e+000 -1.959717148149773e-001 1.080308639978354e-001 1.189475111715081e-001 6.408896793638498e-001 7.775185425951760e-002 -1.459453113481878e-001
1.726530612244896e+000 -1.721536328134676e-001 1.116773189969598e-001 1.089698423798172e-001 6.974529594418339e-001 5.031401673314113e-002 -1.124112416042505e-001
