---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\FullBody-GaitNormal_1-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
1.560000000000000e+000 -1.709578025662475e-001 9.259301848670252e-001 -3.179641603854099e-001 6.906875047627268e-003 1.036544372253969e-001 -3.504513659993105e-002 -2.714419333319407e-002 3.482991104817296e-002 -1.627525278998641e-001 -2.226974671813377e-001
1.569795918367347e+000 -1.576188337260794e-001 9.248055158824431e-001 -3.172607804253257e-001 4.466973751810760e-003 1.091682190883700e-001 -3.665760686789582e-002 -2.374870374250034e-002 4.073569495689217e-002 -1.654726451561182e-001 -2.191693572643641e-001
1.579591836734694e+000 -1.440450016835195e-001 9.238628788294386e-001 -3.165369509337344e-001 1.493956439359056e-003 1.140370857394661e-001 -3.835829453915120e-002 -2.017095850528097e-002 4.720456477209456e-002 -1.680073918523642e-001 -2.155859595422701e-001
1.589387755102041e+000 -1.303003465956542e-001 9.231464825246322e-001 -3.157951203974603e-001 -2.051139802022828e-003 1.181131738967849e-001 -4.009141149400822e-002 -1.649564916902029e-002 5.425006304484222e-002 -1.702804159352818e-001 -2.119851026484870e-001
1.599183673469387e+000 -1.164282966342023e-001 9.226980441852201e-001 -3.150370791829786e-001 -6.191974539835490e-003 1.212688554737955e-001 -4.178148390191434e-002 -1.283563760231415e-002 6.187475613877300e-002 -1.722140200798298e-001 -2.084065354533376e-001
1.608979591836734e+000 -1.024663610095543e-001 9.225499148573687e-001 -3.142642031254648e-001 -1.091155520711992e-002 1.234208668763652e-001 -4.333361250621196e-002 -9.332085986262778e-003 7.003724016710176e-002 -1.737371787476912e-001 -2.048875386399898e-001
1.618775510204081e+000 -8.844839451937757e-002 9.227230771455822e-001 -3.134765546211076e-001 -1.614590534955016e-002 1.245379383349501e-001 -4.464135942163889e-002 -6.140212738709218e-003 7.864089188921249e-002 -1.747881336155616e-001 -2.014572768204647e-001
1.628571428571428e+000 -7.440588028155723e-002 9.232256650374890e-001 -3.126720146934228e-001 -2.178281522141795e-002 1.246483459668553e-001 -4.560085887794750e-002 -3.407293971807480e-003 8.752909935371195e-002 -1.753179984526915e-001 -1.981320624126363e-001
1.638367346938775e+000 -6.036873044181154e-002 9.240526748237314e-001 -3.118459437679057e-001 -2.766760445194353e-002 1.238438518630185e-001 -4.612915230494305e-002 -1.247590897061084e-003 9.649029904379436e-002 -1.752971754851808e-001 -1.949105455771537e-001
1.648163265306122e+000 -4.636584502057319e-002 9.251869857174588e-001 -3.109916973486545e-001 -3.361593870221247e-002 1.222750846107468e-001 -4.617908140517337e-002 2.754899044265979e-004 1.052737008055847e-001 -1.747219561344127e-001 -1.917804263380322e-001
1.657959183673468e+000 -3.242550798311056e-002 9.266014296128189e-001 -3.101019970563980e-001 -3.943118530310655e-002 1.201365437468862e-001 -4.574462948366365e-002 1.152905624550015e-003 1.136133127679188e-001 -1.736157501176456e-001 -1.887085380049519e-001
1.667755102040815e+000 -1.857546523633335e-002 9.282614385411706e-001 -3.091708680890645e-001 -4.492413863046780e-002 1.176437894853546e-001 -4.485765207614260e-002 1.422183697930441e-003 1.212571432124805e-001 -1.720233440610817e-001 -1.856522090747280e-001
1.677551020408162e+000 -4.842494931973386e-003 9.301280014335679e-001 -3.081957076765177e-001 -4.993257228428255e-002 1.150072448478396e-001 -4.357914442765081e-002 1.154054474175170e-003 1.279968647907049e-001 -1.700025576471032e-001 -1.825640141529774e-001
1.687346938775509e+000 8.748611546733771e-003 9.321605880485531e-001 -3.071789771969161e-001 -5.433618129247091e-002 1.124071721008657e-001 -4.198840117038015e-002 4.387370986454579e-004 1.336903524008741e-001 -1.676135390195371e-001 -1.794007713783978e-001
