---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-GaitNormal_1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+000 5.461795267086357e-001 7.317479171802255e-002 3.703696911352392e-001 1.780981241730393e-001 2.540635551976433e-001 -2.615983290054021e-001
1.569795918367347e+000 5.442613710550522e-001 7.159686812515198e-002 3.626260893844552e-001 1.840158675636233e-001 2.457771395389916e-001 -2.392584087935556e-001
1.579591836734694e+000 5.426166896721126e-001 6.918673907386674e-002 3.535610182510069e-001 1.921616574114602e-001 2.345553735439187e-001 -2.142506117794147e-001
1.589387755102041e+000 5.412268126339067e-001 6.581000438964013e-002 3.433000380785912e-001 2.025862435732938e-001 2.204653628461745e-001 -1.871276907774387e-001
1.599183673469387e+000 5.400137695591732e-001 6.133596423718868e-002 3.320061474298939e-001 2.151766642622236e-001 2.038114153716532e-001 -1.586603269116234e-001
1.608979591836734e+000 5.388210062704917e-001 5.567651017837050e-002 3.198322250568154e-001 2.296343483504659e-001 1.852593524785868e-001 -1.298043642352888e-001
1.618775510204081e+000 5.374152888175118e-001 4.880125337140462e-002 3.068888243085153e-001 2.455454345299299e-001 1.657911676404716e-001 -1.015396031478502e-001
1.628571428571428e+000 5.355074097603579e-001 4.075093775467731e-002 2.932949832840618e-001 2.624359155472841e-001 1.465546510963248e-001 -7.471448545682488e-002
1.638367346938775e+000 5.327826261651082e-001 3.164707400163991e-002 2.792450152465639e-001 2.797859906828635e-001 1.286794562678457e-001 -4.993293163071147e-002
1.648163265306122e+000 5.289344716250791e-001 2.169466197265035e-002 2.650336230358081e-001 2.970331889954083e-001 1.131430050184538e-001 -2.752455267176172e-002
1.657959183673468e+000 5.237001860805567e-001 1.117569029704812e-002 2.510468536173309e-001 3.136077229085067e-001 1.007014003672837e-001 -7.621143140359780e-003
1.667755102040815e+000 5.168909264456638e-001 4.295919216577016e-004 2.377394389536000e-001 3.289954442425814e-001 9.186917570715157e-002 9.694041454552211e-003
1.677551020408162e+000 5.084061073234227e-001 -1.018046079653545e-002 2.256001257200217e-001 3.427878812477126e-001 8.693471272720391e-002 2.425551707867215e-002
1.687346938775509e+000 4.982292102393444e-001 -2.030775923907524e-002 2.151051672989937e-001 3.546950773033730e-001 8.598791797667152e-002 3.578650484487808e-002
1.697142857142856e+000 4.864109737227076e-001 -2.965705074963698e-002 2.066652981804411e-001 3.645304936295908e-001 8.893687713932356e-002 4.397363340881723e-002
1.706938775510203e+000 4.730483473250683e-001 -3.800704431342816e-002 2.005764415267154e-001 3.721907499292591e-001 9.552046379257174e-002 4.856624293960968e-002
1.716734693877549e+000 4.582664383551140e-001 -4.521899442854260e-002 1.969886974543730e-001 3.776420402054456e-001 1.053389505358350e-001 4.942548657153506e-002
1.726530612244896e+000 4.422070074932997e-001 -5.123341828445005e-002 1.959010494107854e-001 3.809105369298763e-001 1.179008156253398e-001 4.652416619600337e-002
1.736326530612243e+000 4.250228468238309e-001 -5.605924426703779e-002 1.971755526964034e-001 3.820716053722520e-001 1.326636625122860e-001 3.994260904299744e-002
1.746122448979590e+000 4.068761853554329e-001 -5.975985836149445e-002 2.005605138198713e-001 3.812384982583676e-001 1.490606970822424e-001 2.987801148844142e-002
1.755918367346937e+000 3.879393584473685e-001 -6.243813138931142e-002 2.057180132770837e-001 3.785547641866084e-001 1.665249775958563e-001 1.664798457266953e-002
1.765714285714284e+000 3.683954951977099e-001 -6.422037447618112e-002 2.122549527042270e-001 3.741912526376009e-001 1.845209988686893e-001 6.736979186957170e-004
1.775510204081630e+000 3.484367013465998e-001 -6.524033747995461e-002 2.197546564771627e-001 3.683433120207581e-001 2.025779526914520e-001 -1.755290191921542e-002
1.785306122448977e+000 3.282576537209571e-001 -6.562618186210956e-002 2.278063476482483e-001 3.612242373713104e-001 2.203154330850281e-001 -3.751102043867910e-002
1.795102040816324e+000 3.080443151491584e-001 -6.549218847536653e-002 2.360338839471446e-001 3.530549632247406e-001 2.374577787319025e-001 -5.869499375751430e-002
1.804897959183671e+000 2.879594521959412e-001 -6.493559446003494e-002 2.441211237429237e-001 3.440511124633637e-001 2.538347175679881e-001 -8.064573244716174e-002
1.814693877551018e+000 2.681293669677888e-001 -6.403770505424489e-002 2.518234392137663e-001 3.344115487779469e-001 2.693681544094885e-001 -1.029600579545683e-001
1.824489795918365e+000 2.486379306355691e-001 -6.286647033612813e-002 2.589619894100378e-001 3.243148399987588e-001 2.840516888858167e-001 -1.252865565344361e-001
1.834285714285711e+000 2.295286517127232e-001 -6.147897830182414e-002 2.654102264383471e-001 3.139203238739055e-001 2.979298626616448e-001 -1.473223090996559e-001
1.844081632653058e+000 2.108101973886195e-001 -5.992333937833294e-002 2.710808906771756e-001 3.033653469577915e-001 3.110789748423050e-001 -1.688128148904170e-001
1.853877551020405e+000 1.924631635614920e-001 -5.823741375263336e-002 2.759163335631996e-001 2.927624751442143e-001 3.235918148782122e-001 -1.895499086260052e-001
1.863673469387752e+000 1.744478728799026e-001 -5.644475041425090e-002 2.798849356183424e-001 2.822028677192407e-001 3.355686378469031e-001 -2.093664798815129e-001
1.873469387755099e+000 1.567139511220227e-001 -5.455324909037262e-002 2.829825738443109e-001 2.717603427202951e-001 3.471105512577918e-001 -2.281288995977252e-001
1.883265306122446e+000 1.392145691438089e-001 -5.255879567106891e-002 2.852333613058088e-001 2.614936252749108e-001 3.583113723272066e-001 -2.457292030530743e-001
1.893061224489792e+000 1.219232729426219e-001 -5.044982779898022e-002 2.866869246597561e-001 2.514539384058287e-001 3.692507296728810e-001 -2.620832481089581e-001
1.902857142857139e+000 1.048454121738735e-001 -4.821018511509623e-002 2.874136056110509e-001 2.416984227699603e-001 3.799916052050359e-001 -2.771357286518503e-001
1.912653061224486e+000 8.801994652332494e-002 -4.582357420510719e-002 2.874979690355477e-001 2.322996842850939e-001 3.905806945027254e-001 -2.908620514255985e-001
1.922448979591833e+000 7.151280679176707e-002 -4.328282608092171e-002 2.870300473421411e-001 2.233450639312494e-001 4.010493028724852e-001 -3.032616196766666e-001
1.932244897959180e+000 5.540498912067040e-002 -4.059997453229580e-002 2.860955673006845e-001 2.149289099377130e-001 4.114152332455732e-001 -3.143507394739236e-001
